scenario,date,window_start,window_end,approach,detector_ids,demand_veh_per_hour,n_detector_measurements
weekday_evening,2026-03-23,16:00:00,17:00:00,East,3+4,483,8
weekday_evening,2026-03-23,16:00:00,17:00:00,North_East,29,23,4
weekday_evening,2026-03-23,16:00:00,17:00:00,North_West,27+26,133,8
weekday_evening,2026-03-23,16:00:00,17:00:00,South,31,92,4
weekday_evening,2026-03-23,16:00:00,17:00:00,West,1,335,4
weekday_morning,2026-03-10,08:00:00,09:00:00,East,3+4,367,8
weekday_morning,2026-03-10,08:00:00,09:00:00,North_East,29,38,4
weekday_morning,2026-03-10,08:00:00,09:00:00,North_West,27+26,94,8
weekday_morning,2026-03-10,08:00:00,09:00:00,South,31,79,4
weekday_morning,2026-03-10,08:00:00,09:00:00,West,1,317,4
weekend_evening,2026-03-22,16:00:00,17:00:00,East,3+4,371,8
weekend_evening,2026-03-22,16:00:00,17:00:00,North_East,29,14,4
weekend_evening,2026-03-22,16:00:00,17:00:00,North_West,27+26,91,8
weekend_evening,2026-03-22,16:00:00,17:00:00,South,31,45,4
weekend_evening,2026-03-22,16:00:00,17:00:00,West,1,240,4
weekend_morning,2026-03-14,08:00:00,09:00:00,East,3+4,242,8
weekend_morning,2026-03-14,08:00:00,09:00:00,North_East,29,22,4
weekend_morning,2026-03-14,08:00:00,09:00:00,North_West,27+26,55,8
weekend_morning,2026-03-14,08:00:00,09:00:00,South,31,42,4
weekend_morning,2026-03-14,08:00:00,09:00:00,West,1,176,4
